iteration,trn_loss,lr,val_loss,val_acc
1,2.306955337524414,0.0025037499999999995,2.3038663554191587,0.1
1000,1.6643786430358887,0.0062425,1.6371291649341584,0.3845
2000,1.2285070419311523,0.0099925,1.321303254365921,0.5221
3000,1.1597198247909546,0.0062575,1.1517529088258742,0.5853
4000,0.8788300156593323,0.0025075,1.0233566522598267,0.6399
5000,0.9535389542579651,0.0062425,1.065324187874794,0.6273
6000,0.9197123646736145,0.0099925,0.9659899944067001,0.6666
7000,0.8378751873970032,0.0062575,0.8757819706201553,0.6988
8000,0.7405921220779419,0.0025075,0.8058123889565468,0.7237
9000,0.8960435390472412,0.0062425,0.8804592174291611,0.6849
10000,0.7566229104995728,0.0099925,0.8505163234472275,0.7043
11000,0.8008321523666382,0.0062575,0.7930242276191711,0.7239
12000,0.7799193859100342,0.0025075,0.7344846135377884,0.747
13000,0.8395128846168518,0.0062425,0.7628371477127075,0.7367
14000,0.7936923503875732,0.0099925,0.855553051829338,0.7069
15000,0.6289687752723694,0.0062575,0.7417461568117142,0.7404
16000,0.5611702799797058,0.0025075,0.703704075217247,0.7533
17000,0.6334788799285889,0.0062425,0.7526983606815338,0.7411
18000,0.9353681206703186,0.0099925,0.8650536316633225,0.694
19000,0.6281871199607849,0.0062575,0.7887734270095825,0.7254
20000,0.5338202714920044,0.0025075,0.6796707543730736,0.7639
21000,0.6150201559066772,0.0062425,0.7033352100849152,0.7561
22000,0.8443796634674072,0.0099925,0.7483451718091965,0.7393
23000,1.0148202180862427,0.0062575,0.7497484475374222,0.7395
24000,0.4638238549232483,0.0025075,0.6728771761059761,0.7692
25000,0.6995261907577515,0.0062425,0.7291400891542434,0.7523
26000,0.6146209239959717,0.0099925,0.7335767590999603,0.7462
27000,0.7458991408348083,0.0062575,0.7576625216007232,0.7391
28000,0.4357324242591858,0.0025075,0.6475812247395516,0.7732
29000,0.4978553056716919,0.0062425,0.7071698477864266,0.7569
30000,0.6435234546661377,0.0099925,0.8369512170553207,0.7201
31000,0.5415239930152893,0.0062575,0.7052306085824966,0.7591
32000,0.5424043536186218,0.0025075,0.6497076144814491,0.7771
33000,0.5388064384460449,0.0062425,0.7076073688268661,0.752
34000,0.6760725378990173,0.0099925,0.731450825035572,0.748
35000,0.5790092945098877,0.0062575,0.6836129701137543,0.7634
