iteration,trn_loss,lr,val_loss,val_acc
1,2.302433729171753,0.0025037499999999995,2.3053999876976015,0.0968
1000,1.6277166604995728,0.0062425,1.6567341434955596,0.3854
2000,1.3123725652694702,0.0099925,1.4929515302181244,0.4638
3000,1.1760503053665161,0.0062575,1.1648705595731734,0.5868
4000,1.0747319459915161,0.0025075,1.047297436594963,0.6298
5000,0.8144361972808838,0.0062425,1.057651172876358,0.6302
6000,0.9778518676757812,0.0099925,1.0023828345537185,0.6457
7000,0.7865407466888428,0.0062575,0.9251215291023255,0.6716
8000,0.8646937012672424,0.0025075,0.8302473616600037,0.7105
9000,0.7824676036834717,0.0062425,0.8579025042057037,0.7012
10000,0.9523490071296692,0.0099925,0.9505478066205978,0.6674
11000,0.824683666229248,0.0062575,0.8313518142700196,0.7062
12000,0.7687419652938843,0.0025075,0.756107888519764,0.7374
13000,0.7973340749740601,0.0062425,0.7651103460788726,0.7355
14000,0.8801319599151611,0.0099925,0.8706671804189682,0.6953
15000,0.6483417749404907,0.0062575,0.7925554180145263,0.728
16000,0.6618266105651855,0.0025075,0.7132084530591964,0.7508
17000,0.6681164503097534,0.0062425,0.7467900994420051,0.7433
18000,0.6682212948799133,0.0099925,0.7507832103967667,0.7433
19000,0.6624999046325684,0.0062575,0.7407354843616486,0.741
20000,0.7247998714447021,0.0025075,0.6968611770868302,0.7565
21000,0.7448333501815796,0.0062425,0.7427100884914398,0.7463
22000,0.7389456033706665,0.0099925,0.8158458733558654,0.714
23000,0.7243685126304626,0.0062575,0.7196504813432694,0.7543
24000,0.6695857048034668,0.0025075,0.6771365776658058,0.7639
25000,0.5945084095001221,0.0062425,0.6917184373736381,0.7614
26000,0.8543622493743896,0.0099925,0.7385426658391953,0.7461
27000,0.590278685092926,0.0062575,0.7212737029790879,0.7508
28000,0.6008976697921753,0.0025075,0.6628747746348381,0.7729
29000,0.7011963725090027,0.0062425,0.7343741643428803,0.7486
30000,0.7076187133789062,0.0099925,0.7597088932991027,0.7377
31000,0.7151401042938232,0.0062575,0.7076486086845398,0.7603
32000,0.4133213460445404,0.0025075,0.6467509758472443,0.7742
33000,0.6194908022880554,0.0062425,0.6892947059869766,0.7602
34000,0.5861961245536804,0.0099925,0.7292471301555633,0.7448
35000,0.552099347114563,0.0062575,0.7164109998941421,0.7513
