iteration,trn_loss,lr,val_loss,val_acc
1,2.3060195446014404,0.0025074999999999993,2.305391480922699,0.1
1000,1.6398066282272339,0.0062425,1.6591071164608002,0.3929
2000,1.253934383392334,0.0099925,1.3252250242233277,0.5193
3000,1.1763490438461304,0.0062575,1.1222750157117845,0.5972
4000,1.0887179374694824,0.0025075,1.0432505750656127,0.6289
5000,0.8535667657852173,0.00437125,1.0030982571840286,0.6475
6000,0.9263258576393127,0.00624625,0.9778270727396011,0.655
7000,0.8232580423355103,0.00437875,0.9504140585660934,0.6645
8000,0.7739382982254028,0.00250375,0.8534207159280777,0.7059
9000,0.8604074716567993,0.003435625,0.8640698391199112,0.694
10000,0.8096258044242859,0.004373125,0.8624088150262833,0.6982
11000,0.891028642654419,0.003439375,0.8160765141248703,0.7143
12000,0.9543070197105408,0.002501875,0.8081805884838105,0.7168
13000,0.6416753530502319,0.0029678125,0.8085188323259354,0.7213
14000,0.7881183624267578,0.0034365625,0.8181431531906128,0.7181
15000,0.7107319831848145,0.0029696875,0.7596068912744522,0.7351
16000,0.716430127620697,0.0025009375,0.7540321889519691,0.742
17000,0.693499743938446,0.0027339062500000002,0.7465810525417328,0.7455
18000,0.9066380262374878,0.00296828125,0.7433181345462799,0.7436
19000,0.6094011068344116,0.00273484375,0.7483188915252685,0.7463
20000,0.6903960704803467,0.00250046875,0.7466528606414795,0.7406
21000,0.7852717041969299,0.002616953125,0.7414747869968414,0.7446
22000,0.681825578212738,0.002734140625,0.7562218689918518,0.736
23000,0.7947642803192139,0.002617421875,0.727981880903244,0.7483
24000,0.6264378428459167,0.002500234375,0.7276952308416367,0.7515
25000,0.6094700694084167,0.0025584765625,0.7190271791815758,0.7515
26000,0.5907220244407654,0.0026170703125000003,0.7116477581858635,0.7509
27000,0.6222324967384338,0.0025587109375,0.710147944688797,0.7536
28000,0.7690094709396362,0.0025001171875,0.702500214278698,0.7567
29000,0.540433406829834,0.00252923828125,0.7102899748086929,0.7555
30000,0.8049781322479248,0.00255853515625,0.7036694520711899,0.7595
31000,0.725034773349762,0.0025293554687500002,0.6989886111021042,0.7554
32000,0.4958459138870239,0.00250005859375,0.7116630971431732,0.7511
33000,0.7525650858879089,0.002514619140625,0.6936786529421807,0.7638
34000,0.7089677453041077,0.002529267578125,0.7283993375301361,0.7438
35000,0.6077618598937988,0.002514677734375,0.6870704200863839,0.7621
