iteration,trn_loss,lr,val_loss,val_acc
1,2.3158750534057617,0.0070015,2.3052439451217652,0.0939
500,1.55889892578125,0.006253,1.5285473811626433,0.4411
1000,1.4037697315216064,0.005503,1.3739276313781739,0.5096
1500,1.0877312421798706,0.004753,1.2430369985103606,0.5566
2000,1.0989784002304077,0.004003,1.1535150969028474,0.6035
2500,1.1141140460968018,0.003253,1.0960009902715684,0.6123
3000,1.0204178094863892,0.002503,1.0451411986351014,0.6345
3500,1.0428575277328491,0.0017529999999999994,1.0014646846055983,0.6501
4000,1.1275478601455688,0.0010029999999999996,0.9752665412425995,0.6587
4500,0.8905993700027466,0.001,0.9625169438123703,0.6675
5000,0.9804762005805969,0.001,0.958123340010643,0.664
5500,0.8910219073295593,0.001,0.9456889796257019,0.671
6000,1.0942773818969727,0.001,0.9407467526197434,0.6734
6500,0.8029584288597107,0.001,0.9291936069726944,0.6726
7000,0.8100183606147766,0.001,0.9213050878047944,0.6782
7500,0.9432716965675354,0.001,0.9157968461513519,0.6824
8000,0.9402356147766113,0.001,0.9094270581007003,0.6816
8500,0.7231302857398987,0.001,0.9107110375165939,0.6791
9000,0.7717517018318176,0.001,0.9013521921634674,0.6847
9500,0.9524957537651062,0.001,0.8880109769105912,0.6909
10000,0.8856656551361084,0.001,0.8943328261375427,0.6918
10500,0.8765177726745605,0.001,0.8731527900695801,0.6966
11000,0.6520701050758362,0.001,0.8839606183767319,0.6942
11500,0.8011901378631592,0.001,0.89013587474823,0.6924
12000,0.9655622839927673,0.001,0.8630462068319321,0.6993
12500,0.9872358441352844,0.001,0.8613714838027954,0.7001
13000,0.8634224534034729,0.001,0.8595124411582947,0.7027
13500,0.666592001914978,0.001,0.844064946770668,0.7071
14000,0.8780629634857178,0.001,0.8544781810045242,0.6989
14500,0.8209891319274902,0.001,0.8579097026586533,0.7025
15000,0.6901368498802185,0.001,0.8633661299943924,0.6969
15500,0.632368803024292,0.001,0.8453005909919739,0.7049
16000,0.718056321144104,0.001,0.857875047326088,0.7048
16500,0.7725903987884521,0.001,0.8192410337924957,0.7169
17000,0.6924533247947693,0.001,0.8201056641340255,0.7161
17500,0.7730299234390259,0.001,0.814815821647644,0.7186
18000,0.8528875708580017,0.001,0.8452080261707305,0.7092
18500,0.810070812702179,0.001,0.8189197826385498,0.7186
19000,0.6409900784492493,0.001,0.8187361001968384,0.7162
19500,0.891907811164856,0.001,0.818578120470047,0.7168
20000,0.6897651553153992,0.001,0.8175258320569992,0.7135
20500,0.8293606638908386,0.001,0.8107356858253479,0.721
21000,0.7403888702392578,0.001,0.8249418807029724,0.711
21500,0.6931012868881226,0.001,0.7932911628484726,0.7262
22000,0.8483203053474426,0.001,0.8255722749233246,0.7132
22500,0.7618573904037476,0.001,0.8048562508821487,0.7238
23000,0.5389012694358826,0.001,0.8074957633018494,0.7207
23500,0.7822114825248718,0.001,0.8054265874624252,0.7211
24000,0.7645304203033447,0.001,0.7993920809030532,0.7253
24500,0.7556865215301514,0.001,0.7834287708997727,0.7339
25000,0.8735525608062744,0.001,0.8156161600351334,0.7203
