iteration,trn_loss,lr,val_loss,val_acc
1,2.3046481609344482,0.0025037499999999995,2.3050693583488466,0.1
1000,1.6276497840881348,0.0062425,1.6658544802665711,0.3775
2000,1.6071046590805054,0.0099925,1.4575368249416352,0.4723
3000,1.1853220462799072,0.0062575,1.1849050027132035,0.5854
4000,1.0007984638214111,0.0025075,1.0766128051280974,0.6206
5000,1.098536491394043,0.0062425,1.098484729528427,0.6053
6000,1.067954659461975,0.0099925,1.0179495507478713,0.6452
7000,0.873240053653717,0.0062575,0.8730618339776993,0.6951
8000,0.8067431449890137,0.0025075,0.8435088264942169,0.7058
9000,0.7172715067863464,0.0062425,0.8401214396953582,0.6997
10000,0.9136711955070496,0.0099925,0.9045740330219268,0.6888
11000,0.7858867645263672,0.0062575,0.8323401719331741,0.7095
12000,0.676919162273407,0.0025075,0.768417640030384,0.7356
13000,0.569383442401886,0.0062425,0.7894460743665696,0.7283
14000,0.8763219714164734,0.0099925,0.8593053424358368,0.6918
15000,0.7031083703041077,0.0062575,0.7635247391462326,0.7405
16000,0.7737318277359009,0.0025075,0.7039665549993515,0.7597
17000,0.7017474174499512,0.0062425,0.7498368972539902,0.7382
18000,0.6863064765930176,0.0099925,0.7777117562294006,0.7274
19000,0.5760299563407898,0.0062575,0.7579437607526779,0.7367
20000,0.8141185641288757,0.0025075,0.6805918073654175,0.7626
21000,0.6192842125892639,0.0062425,0.7262087464332581,0.752
22000,0.7069505453109741,0.0099925,0.7594643211364747,0.7395
23000,0.688271164894104,0.0062575,0.7535567307472228,0.7343
24000,0.6294512152671814,0.0025075,0.6576567015051842,0.7727
25000,0.842017412185669,0.0062425,0.7353359541296959,0.7441
26000,0.6357226967811584,0.0099925,0.7499864035844803,0.7422
27000,0.5887724757194519,0.0062575,0.7028562301397323,0.7544
28000,0.584858238697052,0.0025075,0.6701927968859672,0.7688
29000,0.510364294052124,0.0062425,0.7000928854942322,0.7573
30000,0.8183411359786987,0.0099925,0.7741387063264846,0.7346
31000,0.5510991215705872,0.0062575,0.7306861275434494,0.7475
32000,0.44544288516044617,0.0025075,0.6379735046625137,0.7766
33000,0.6007404923439026,0.0062425,0.6922690835595131,0.7612
34000,0.6798303127288818,0.0099925,0.7769505003094673,0.7291
35000,0.5942520499229431,0.0062575,0.684341501891613,0.7609
