iteration,trn_loss,lr,val_loss,val_acc
1,2.2977654933929443,0.001,2.3063132882118227,0.1278
1000,2.2097065448760986,0.001,2.150905191898346,0.2108
2000,2.0062999725341797,0.001,1.9164109313488007,0.2954
3000,1.8871912956237793,0.001,1.7194612455368041,0.366
4000,1.6116914749145508,0.001,1.583335098028183,0.4158
5000,1.4392181634902954,0.001,1.517972744703293,0.4418
6000,1.5057921409606934,0.001,1.4638865399360657,0.4585
7000,1.5817084312438965,0.001,1.409935268163681,0.4819
8000,1.4098000526428223,0.001,1.376354397535324,0.4994
9000,1.3647366762161255,0.001,1.3372688972949982,0.5188
10000,1.2078226804733276,0.001,1.2971268749237062,0.531
11000,1.0433297157287598,0.001,1.268992087841034,0.5433
12000,1.1446075439453125,0.001,1.2412603086233138,0.5587
13000,1.1260707378387451,0.001,1.1864371514320373,0.5805
14000,1.0525401830673218,0.001,1.1730609720945357,0.586
15000,1.2614612579345703,0.001,1.1515558272600175,0.5916
16000,1.0956422090530396,0.001,1.1268603855371475,0.6014
17000,1.151119589805603,0.001,1.1145139974355698,0.604
18000,1.1141318082809448,0.001,1.080641730427742,0.6162
19000,1.0546715259552002,0.001,1.0606510025262832,0.6264
20000,0.9569788575172424,0.001,1.0468248587846756,0.6287
21000,0.9818134903907776,0.001,1.03364224255085,0.6352
22000,1.1985671520233154,0.001,1.0357458585500716,0.6354
23000,1.0888077020645142,0.001,1.0183455902338028,0.6405
24000,0.9955551624298096,0.001,0.9876506918668747,0.6538
25000,1.0090622901916504,0.001,1.0005057162046433,0.6455
26000,0.867890477180481,0.001,0.968088726401329,0.6626
27000,0.8585911393165588,0.001,1.015820443034172,0.6471
28000,0.8615140318870544,0.001,0.9425017189979553,0.6716
29000,0.9646737575531006,0.001,0.9197629630565644,0.6806
30000,1.1042369604110718,0.001,0.9275315046310425,0.6767
31000,0.9257447123527527,0.001,0.9093445384502411,0.6777
32000,0.9199309349060059,0.001,0.911196054816246,0.6825
33000,0.9234356880187988,0.001,0.8860681438446045,0.6885
34000,0.8289185166358948,0.001,0.8643446177244186,0.7029
35000,0.9474742412567139,0.001,0.8672947084903717,0.6986
36000,0.9399311542510986,0.001,0.8657115203142166,0.6974
37000,0.7519959807395935,0.001,0.8578626376390457,0.6977
38000,0.7770475149154663,0.001,0.8577740818262101,0.6997
39000,0.888133704662323,0.001,0.8456324702501297,0.7033
40000,0.8785708546638489,0.001,0.8388873916864396,0.712
41000,0.6435836553573608,0.001,0.8265178614854812,0.7153
42000,0.6106739640235901,0.001,0.8135188603401184,0.7182
43000,0.7855706810951233,0.001,0.802278111577034,0.7224
44000,0.8185569643974304,0.001,0.8302048414945602,0.7098
45000,0.7605623602867126,0.001,0.794890324473381,0.7235
46000,0.779814600944519,0.001,0.8097835999727249,0.7167
47000,0.7260674834251404,0.001,0.7978631329536437,0.7229
48000,0.8388639092445374,0.001,0.7902602314949035,0.7261
49000,0.6765845417976379,0.001,0.7753487676382065,0.7319
50000,0.7085972428321838,0.001,0.8143305921554566,0.7152
51000,0.7371891736984253,0.001,0.7666331896185875,0.7372
52000,0.7471616268157959,0.001,0.7754234141111374,0.7322
53000,0.6541658043861389,0.001,0.7671995687484742,0.7357
54000,0.6752515435218811,0.001,0.7646620094776153,0.7348
55000,0.5955735445022583,0.001,0.7533815348148346,0.7419
56000,0.7124350666999817,0.001,0.7556774628162384,0.7357
57000,0.666999876499176,0.001,0.7585065960884094,0.7411
58000,0.643251895904541,0.001,0.7382538431882858,0.749
59000,0.6566841006278992,0.001,0.7370565974712372,0.7473
60000,0.733462393283844,0.001,0.7659967237710953,0.7372
