iteration,trn_loss,lr,val_loss,val_acc
1,2.298597812652588,0.0025037499999999995,2.305461356639862,0.1
1000,1.6910231113433838,0.0062425,1.6804235100746154,0.3823
2000,1.426662564277649,0.0099925,1.3669135284423828,0.5072
3000,1.3729400634765625,0.0062575,1.1866989374160766,0.5791
4000,1.0422890186309814,0.0025075,1.0451254957914353,0.6328
5000,1.2875198125839233,0.0062425,1.0853311622142792,0.614
6000,1.192062258720398,0.0099925,1.1166151124238968,0.6125
7000,0.8457381725311279,0.0062575,0.9440486073493958,0.673
8000,0.94527268409729,0.0025075,0.8668209141492844,0.6991
9000,0.7106298208236694,0.0062425,0.8903553664684296,0.6897
10000,0.9139995574951172,0.0099925,0.882884721159935,0.6908
11000,0.7946237921714783,0.0062575,0.8180100601911545,0.7137
12000,0.5955376625061035,0.0025075,0.7593294525146485,0.7351
13000,0.6693745255470276,0.0062425,0.7968618220090866,0.7276
14000,0.7431009411811829,0.0099925,0.8545409506559372,0.6909
15000,0.7557988166809082,0.0062575,0.7632616806030273,0.7405
16000,0.678524374961853,0.0025075,0.7114196228981018,0.7544
17000,0.6242936253547668,0.0062425,0.7653144365549087,0.7367
18000,0.8155703544616699,0.0099925,0.8070110887289047,0.7148
19000,0.7658866047859192,0.0062575,0.7254400306940079,0.7515
20000,0.8359445333480835,0.0025075,0.6904992225766182,0.7624
21000,0.6834348440170288,0.0062425,0.7502672290802002,0.7363
22000,1.0155755281448364,0.0099925,0.7821273851394653,0.7283
23000,0.7459026575088501,0.0062575,0.7631939053535461,0.737
24000,0.573356568813324,0.0025075,0.6895165145397186,0.7586
